Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
XE,2768,CLE,ALB,4,745,77,0
WN,1458,SAT,HOU,5,1120,50,1
XE,2133,IAH,COS,3,1285,138,0
WN,511,LAX,MDW,3,590,240,1
AS,111,SEA,ANC,6,1245,220,0
US,1468,TPA,DCA,2,805,124,0
WN,180,SFO,LAX,3,1250,75,1
CO,534,IAH,PIT,1,795,160,0
US,1559,PHL,FLL,3,710,169,1
AA,1297,DFW,MIA,5,345,160,1
MQ,4420,BOS,LGA,1,360,80,0
AA,313,LGA,ORD,2,545,165,0
OO,4615,CID,MSP,2,415,66,1
AS,41,ANC,BET,5,420,78,0
CO,212,IAH,SJU,2,610,252,0
MQ,2970,AEX,DFW,3,430,80,0
9E,3706,LEX,DTW,2,675,88,1
OH,6499,CVG,DEN,3,1240,196,1
OO,4520,SLC,FCA,1,1031,124,0
DL,2602,MSY,ATL,1,900,92,0
DL,64,LAS,ATL,4,742,232,1
9E,3709,IAD,DTW,4,1160,94,1
CO,129,MSY,IAH,4,1046,72,1
AA,540,MIA,DTW,3,1150,180,0
DL,1246,CLT,DTW,1,765,110,1
WN,1414,HRL,SAT,1,420,55,0
XE,2853,DAY,EWR,3,375,108,0
AA,1121,IAH,DFW,1,990,75,0
AA,2299,DTW,MIA,5,360,190,0
F9,724,DEN,DCA,2,705,193,1
CO,695,IAH,LAX,1,1030,227,1
XE,2546,CLE,MSP,7,1000,124,1
CO,1441,IAH,AUS,7,1165,60,1
US,1069,PHL,RSW,4,1085,181,1
UA,382,ORD,IAD,3,529,113,0
US,1456,DCA,MCO,5,615,142,1
DL,2783,BDL,ATL,7,628,161,1
WN,2688,SMF,PHX,7,595,105,1
UA,118,LAX,SFO,5,927,89,1
WN,958,TUL,DAL,5,1015,60,1
DL,1326,RDU,ATL,7,1035,95,0
MQ,3058,RNO,LAX,7,1145,90,0
MQ,4060,ORD,CMH,7,1230,70,0
UA,73,SAN,SFO,3,382,103,0
AA,1455,MIA,SFO,5,930,375,0
FL,604,RSW,BWI,5,1113,137,0
FL,137,BWI,JAX,2,645,115,0
MQ,4647,RDU,LGA,3,700,95,1
WN,709,ABQ,OAK,1,860,155,1
YV,2685,BNA,CLT,4,1025,76,0
WN,857,MCO,STL,3,1005,155,0
AA,2541,IND,DFW,2,680,150,1
EV,5517,CAE,ATL,6,995,74,0
MQ,3348,DFW,SGF,3,1205,75,0
AA,1026,DFW,MCI,1,425,95,0
OO,6551,ORD,CMX,7,1274,81,1
B6,421,BOS,PBI,5,580,195,1
MQ,4268,CLE,ORD,4,460,95,1
AS,20,SEA,ORD,4,520,235,1
MQ,2838,SAV,DFW,7,440,180,1
OH,6756,DTW,CLT,6,840,110,1
WN,1100,BWI,SDF,7,915,110,0
9E,3724,DTW,GRB,1,525,88,0
FL,69,IAD,ATL,4,370,119,0
OO,4718,GFK,MSP,1,1018,71,0
WN,1027,DAL,MSY,1,695,80,1
OO,4621,DEN,SLC,3,780,90,1
WN,1812,MCI,MDW,5,425,90,0
UA,53,LAX,KOA,3,1020,349,0
B6,1421,PDX,LGB,4,450,135,1
MQ,2705,DFW,ROW,7,795,95,0
WN,2879,DAL,SAT,1,805,65,1
OH,6306,IAD,DTW,2,750,113,1
WN,513,AMA,DAL,7,490,65,0
OO,6908,SFO,RNO,6,627,53,1
WN,3346,STL,TPA,7,530,140,1
OO,4804,FAT,SLC,2,780,95,0
EV,4984,DCA,BOS,1,475,95,0
WN,642,LAX,SLC,3,955,110,1
AA,1901,DFW,MIA,3,750,160,1
OO,4621,DEN,SLC,7,779,96,1
OH,6450,CVG,MDT,1,675,84,0
YV,2719,PHX,SBA,2,673,97,0
AS,498,SEA,SAN,4,1075,154,0
DL,1003,MSP,MCO,7,980,191,0
US,541,DFW,LAS,1,450,178,0
AA,1084,SJC,DFW,2,1040,190,1
AS,300,SEA,SFO,7,1225,133,0
B6,346,SRQ,JFK,7,705,159,0
WN,3498,LAX,STL,7,840,205,1
DL,2165,DTW,BDL,5,840,104,0
HA,2,HNL,LAX,4,905,325,1
CO,676,EWR,RSW,7,1005,194,0
WN,3603,PHX,ELP,3,705,65,1
WN,1498,RNO,LAS,3,1250,70,0
WN,493,LAX,PHX,4,500,80,1
US,1890,PBI,CLT,5,900,112,0
WN,856,SFO,SAN,7,1100,85,1
UA,735,DEN,SFO,1,898,166,0
9E,4277,MEM,AMA,5,820,120,1
OO,7040,ACV,SFO,2,659,78,1
WN,404,SAN,LAS,1,460,70,0
FL,850,EYW,MCO,2,789,65,0
FL,83,ATL,FLL,4,625,112,0
WN,959,MCO,PIT,4,1200,135,1
B6,717,JFK,SJU,1,1439,220,0
WN,3071,BUR,LAS,3,650,60,0
OO,4868,SFO,LAX,4,375,90,0
US,1950,CLT,BUF,6,1215,107,1
OH,6563,DTW,BUF,4,1315,76,0
AA,867,DCA,ORD,2,1035,135,1
XE,5933,LEX,ORD,4,949,89,1
UA,404,SFO,IAD,2,1395,306,0
EV,4973,FAY,ATL,4,508,97,0
DL,2718,MCO,ATL,4,1110,100,1
DL,1602,LAS,ATL,7,360,220,0
CO,576,EWR,RSW,4,870,190,0
AA,2421,DFW,LAX,7,695,195,0
WN,271,RNO,SAN,2,585,85,0
OO,7012,DEN,ASE,5,602,45,1
AS,573,SAN,PDX,2,400,160,0
XE,2346,IAH,HSV,2,960,101,0
US,1042,TPA,PHL,6,855,149,0
XE,3104,CRW,IAH,4,1075,171,1
MQ,3923,FSD,ORD,5,390,105,0
B6,715,JFK,SJU,3,1250,229,0
AA,1617,DCA,DFW,2,1016,215,1
US,1103,BWI,CLT,1,630,88,1
XE,2998,IAH,MEM,5,785,90,1
AA,879,TUL,DFW,3,425,70,0
FL,420,ATL,PNS,6,1330,75,1
WN,1686,TPA,BHM,4,1160,85,1
EV,5011,DTW,CHA,5,520,110,0
MQ,3064,SAN,LAX,2,1195,45,0
XE,2692,IAH,LFT,5,1280,53,0
DL,1372,LGA,BOS,3,450,66,1
FL,186,ATL,DCA,4,620,105,1
AA,1772,MIA,JFK,6,845,170,1
MQ,3629,MIA,BNA,3,420,145,0
AS,340,SEA,OAK,2,370,125,0
CO,728,EWR,DEN,7,875,274,0
OO,4857,LEX,MSP,4,1130,130,1
AA,1096,SAN,ORD,3,380,250,0
EV,5113,ATL,DHN,3,595,65,0
WN,529,SAN,OAK,7,675,85,1
MQ,2930,DFW,SHV,5,1095,55,0
WN,3505,OAK,SAN,3,480,85,1
MQ,2715,DFW,LFT,5,630,75,0
OO,6929,DEN,DRO,3,1173,64,0
FL,562,ATL,BMI,6,610,107,0
US,2182,DCA,LGA,4,1080,84,0
OH,6583,MDW,MSP,4,985,96,0
AA,1919,ATL,DFW,4,1000,150,0
DL,1613,CLT,ATL,3,1185,88,0
WN,811,SEA,MCI,7,630,205,1
DL,1692,TPA,DTW,4,632,158,0
WN,2003,RNO,SJC,6,605,60,1
WN,1504,SAN,SJC,6,490,85,0
9E,3915,MEM,TUL,1,575,88,1
AS,865,SEA,KOA,1,520,376,0
WN,270,HRL,SAT,7,1090,55,1
XE,2828,DAL,IAH,1,1140,62,1
OO,6849,FSD,DEN,3,1027,103,1
DL,2925,BOS,MSP,4,857,198,1
WN,3256,HOU,ELP,5,540,120,1
CO,685,PDX,EWR,4,1315,304,0
B6,1410,AUS,MCO,5,925,142,0
US,403,PHX,SFO,3,525,130,0
US,517,PHX,OMA,4,1185,152,0
UA,692,ORD,LGA,7,1094,125,0
CO,1010,IAH,EWR,6,1060,200,0
AA,1985,PHL,SJU,3,430,230,1
OH,6722,DTW,MDT,4,840,86,1
AA,2349,ORD,DFW,7,1130,155,0
WN,2210,MDW,LIT,4,1040,105,1
AA,1430,DFW,TPA,1,475,135,1
WN,1673,MCO,MHT,6,1100,165,1
AA,1747,DCA,DFW,4,835,220,0
MQ,3828,ORD,DCA,6,740,110,0
B6,1222,RDU,BOS,6,535,100,0
MQ,3930,ORD,OMA,6,1250,95,1
UA,896,ORD,IAD,2,786,120,1
WN,46,DAL,ABQ,7,1130,110,1
9E,3815,PNS,MEM,5,375,91,1
EV,5577,EVV,ATL,1,658,86,1
US,1602,CLT,RDU,4,1189,48,1
DL,14,FLL,ATL,5,665,118,1
MQ,4028,JAX,ORD,4,1035,170,1
XE,2321,PIT,EWR,3,380,97,0
MQ,3781,LIT,ORD,5,350,105,1
FL,55,ATL,LAX,3,535,320,0
OH,6638,DTW,CRW,5,1300,80,1
EV,5484,ATL,TYS,6,600,65,0
OH,6388,JFK,BUF,4,1289,110,1
XE,2579,IAH,SAT,5,480,59,0
CO,1117,EWR,ORD,5,910,160,1
YV,2973,SFO,LAS,6,1010,88,1
B6,1014,JFK,BOS,5,899,81,1
WN,452,MAF,DAL,3,400,70,0
OO,6551,ORD,CMX,2,1275,81,0
OH,6568,DTW,CRW,3,600,84,0
EV,5009,BHM,ATL,1,405,69,0
WN,1653,PHX,ELP,5,755,70,0
WN,465,SAN,MCI,4,420,190,0
WN,3024,MHT,BWI,6,865,100,1
XE,3041,IAH,CRP,1,615,68,0
AS,632,SEA,PHX,5,450,170,0
9E,3749,HPN,ATL,7,915,162,0
DL,1180,SLC,MCO,4,1019,254,0
CO,1823,IAH,MSY,1,630,65,0
B6,615,JFK,JAX,3,830,160,1
9E,3826,DTW,PWM,6,600,117,0
WN,617,MDW,MCI,3,1185,90,1
DL,300,ATL,MSP,7,1305,171,1
EV,5028,ATL,TLH,7,666,71,0
CO,304,EWR,PDX,3,585,377,0
DL,1517,ATL,DEN,6,500,213,0
MQ,3277,DFW,ACT,5,1215,40,0
UA,672,ORD,LGA,5,480,132,0
MQ,2929,DFW,BTR,5,945,80,1
WN,3843,PHX,BUF,3,760,245,0
OO,7024,DEN,JAC,3,1157,88,0
OH,6360,RDU,MCO,4,1030,124,0
WN,694,MDW,CMH,1,985,65,1
EV,7137,IAD,CAE,1,1045,87,0
MQ,3728,EWR,ORD,6,960,165,0
AS,564,PDX,LAX,7,700,140,0
WN,1175,SNA,OAK,3,405,105,0
YV,2627,DTW,CLT,3,1025,113,1
XE,2498,ABQ,IAH,6,917,117,0
WN,1631,SAT,ELP,6,500,90,0
B6,129,BUF,JFK,4,705,75,1
WN,3089,TPA,HOU,6,910,150,1
UA,267,DEN,JAC,7,908,84,0
B6,433,BOS,MCO,7,670,191,0
FL,431,MKE,ATL,7,380,129,0
WN,692,LAS,ONT,7,1025,55,1
9E,4005,ATL,TUL,5,960,130,0
AA,348,ORD,LGA,6,1135,125,1
US,1463,FLL,CLT,5,895,119,1
MQ,4242,CLE,JFK,2,775,105,0
OO,7767,RKS,SLC,2,485,65,1
US,1746,MCO,PHL,1,475,142,1
AA,1256,MIA,LGA,3,465,170,1
B6,22,JFK,SYR,3,1365,69,0
DL,1899,ATL,BNA,4,910,67,0
EV,5137,ATL,BTR,1,1220,97,1
OO,6457,SMF,SFO,7,737,47,1
9E,4219,ROA,DTW,3,1030,100,1
US,436,PHX,TUS,1,668,48,1
OO,6521,LAX,SJC,4,1335,69,1
MQ,2753,DFW,BMI,7,780,120,1
DL,2404,LAX,SLC,2,615,110,1
FL,950,BWI,GRR,3,620,105,1
WN,820,SNA,SMF,2,470,90,1
YV,1012,LIH,HNL,7,600,29,0
AA,366,ORD,LGA,5,855,125,1
WN,55,HOU,HRL,1,1280,60,1
HA,239,HNL,LIH,5,995,37,1
WN,258,DAL,HOU,7,840,60,1
OO,6889,BUR,SFO,4,422,82,1
US,113,LAS,LAX,4,1220,66,1
WN,5,MSY,MCO,5,655,95,0
EV,7094,IAD,PWM,4,1324,92,0
WN,3422,ONT,SMF,3,505,80,1
WN,1921,BHM,BNA,3,570,50,0
OO,4497,AUS,SLC,4,850,169,0
DL,1831,SLC,MCO,5,605,257,1
AA,1019,CLT,DFW,4,400,185,0
MQ,3335,CID,DFW,4,765,135,0
US,1077,DCA,JAX,2,705,123,1
EV,5507,CHO,ATL,1,360,102,0
EV,5358,ATL,SYR,4,785,125,1
CO,147,ORD,IAH,2,585,164,0
HA,302,HNL,ITO,2,806,52,0
XE,2860,MKE,IAH,1,650,172,1
DL,1235,SLC,BOI,2,680,71,0
EV,7304,MLB,ATL,5,890,102,0
AA,489,PHL,MIA,3,1115,185,0
DL,1529,JFK,LAS,5,625,345,1
9E,3929,AZO,MSP,3,445,106,0
WN,1175,OAK,RNO,3,545,50,1
HA,387,KOA,HNL,5,1088,42,0
WN,425,HOU,SAT,3,695,55,1
XE,3046,MEM,EWR,3,775,155,1
MQ,3711,ORD,LIT,3,910,115,1
WN,1864,TUL,HOU,5,420,95,0
AA,563,DFW,SAT,4,1060,65,0
DL,2258,RDU,MSP,5,385,184,1
DL,1235,SLC,BOI,4,680,71,0
WN,391,MCI,PHX,2,515,190,0
B6,1147,BTV,MCO,2,566,196,0
UA,202,LAX,MSY,1,680,220,1
9E,3946,BNA,MSP,2,360,145,0
WN,3920,STL,OKC,2,635,100,0
HA,256,HNL,OGG,5,610,37,0
WN,903,OAK,HOU,4,445,225,0
WN,144,JAX,PHL,3,700,130,1
XE,2796,IAH,ATL,5,970,121,0
US,1118,CLT,PWM,3,1090,129,1
AA,1397,ORD,RSW,3,410,165,1
XE,2056,MCI,EWR,5,635,165,1
OO,6430,LAX,SAT,1,1110,161,0
FL,936,ATL,JAX,5,846,67,0
FL,420,ATL,PNS,3,1340,75,1
WN,1680,LAS,OAK,3,1080,90,1
OO,6818,ACV,SFO,5,910,74,0
XE,2301,EWR,ORD,3,585,169,0
DL,1875,MSP,DFW,4,1020,156,1
WN,2459,OKC,DEN,1,390,100,0
UA,22,ROC,ORD,3,452,121,0
MQ,4020,ROC,ORD,4,740,125,1
DL,2382,MIA,JFK,7,1140,180,1
DL,1297,SFO,SLC,6,360,114,0
AA,815,AUS,DFW,3,785,65,0
WN,1033,LAS,SAN,4,975,65,1
WN,899,LAS,OAK,1,660,90,1
OO,6658,COS,DEN,4,1066,46,0
WN,1769,RDU,BNA,1,440,95,1
DL,2215,DTW,DEN,7,525,207,1
OO,4654,HLN,SLC,3,375,69,0
B6,132,RSW,JFK,5,1055,164,1
EV,5084,DTW,ATW,6,545,97,0
DL,1542,SEA,JFK,1,395,322,0
OH,6458,RDU,BOS,7,765,124,0
WN,2175,MSY,LAX,3,775,260,1
UA,869,DEN,SFO,3,494,176,0
WN,1753,BWI,JAX,3,510,130,1
WN,2056,PHX,SNA,6,1085,75,1
OO,6863,OMA,DEN,6,519,115,0
EV,5276,CHA,ATL,1,520,61,1
AA,2004,LAX,ORD,5,510,250,0
FL,1412,RSW,FNT,1,640,176,0
WN,1255,SAT,DAL,2,1255,55,1
US,1588,CLT,PVD,1,590,122,0
DL,2110,ATL,CMH,1,1035,94,0
WN,1592,BUF,FLL,3,715,190,0
UA,485,MIA,DEN,6,926,276,0
WN,208,ONT,SMF,7,570,80,1
AS,105,SEA,ANC,3,1045,225,1
WN,4,DAL,AMA,5,500,70,0
YV,7308,IAD,JAX,7,1013,116,0
AA,1230,SEA,DFW,6,1410,215,1
DL,1698,JAX,ATL,1,330,77,0
MQ,3384,CHS,DFW,3,460,190,0
MQ,3810,ORD,CLE,4,465,80,0
WN,759,ONT,PHX,7,520,65,1
MQ,3945,ORD,PIT,4,1240,90,1
OO,4715,MSP,GFK,1,1305,75,1
OO,6747,SMF,SFO,5,642,48,0
DL,2118,MCO,ATL,4,630,92,0
WN,1229,PHX,OAK,5,1245,125,1
9E,3671,MBS,DTW,7,620,53,1
DL,1794,ATL,PHL,4,1295,124,1
AS,322,SEA,SJC,4,405,127,0
YV,7248,ORD,BDL,5,659,120,0
OO,4780,SLC,GTF,4,1207,85,0
HA,11,SFO,HNL,7,520,335,0
US,721,CLT,MIA,2,1085,125,1
US,982,CLT,MSP,3,880,170,0
EV,5558,DTW,PHL,3,915,120,1
AA,8,HNL,DFW,6,1100,425,1
9E,4069,MSP,OMA,4,1030,75,0
XE,5894,ORD,TYS,5,1116,89,0
OO,6311,SBP,LAX,3,1220,70,0
OO,4750,ONT,SLC,3,983,105,1
9E,4099,DAY,DTW,6,660,79,0
WN,420,AUS,DEN,5,1060,145,0
OO,4597,DEN,SLC,4,435,97,1
UA,465,DEN,BIL,2,1305,93,0
DL,1646,PHX,ATL,4,60,202,0
EV,5062,HSV,ATL,2,330,53,0
EV,7105,ROA,IAD,1,373,65,0
WN,1463,MDW,MCI,4,1245,90,1
WN,3428,MDW,BOS,5,1195,135,1
CO,723,IAH,MSY,6,730,61,1
OH,6677,CMH,DCA,3,1045,77,1
DL,1517,ATL,DEN,2,500,213,0
OO,7755,SLC,CDC,2,459,72,1
DL,1136,SLC,ATL,3,510,220,0
WN,2103,PHX,SLC,5,1180,95,1
AA,708,DFW,LGA,4,495,195,0
MQ,3903,CRW,ORD,2,1075,120,0
FL,850,EYW,MCO,7,789,65,0
OO,7053,LIT,ORD,4,868,112,1
UA,277,MCO,LAX,4,1144,331,0
UA,251,IAD,PDX,4,1060,348,0
OO,6509,TUS,LAX,1,486,95,0
OO,6300,LAX,PSP,3,510,53,1
MQ,3958,ORD,ROC,1,810,100,0
YV,2620,CLT,MDT,1,1335,89,0
XE,2741,CVG,EWR,3,1110,125,1
DL,2307,ATL,LIT,6,1150,99,0
DL,1620,MIA,CVG,2,1005,164,0
WN,181,LAS,SNA,5,730,70,1
FL,605,RSW,BWI,3,757,140,0
OO,4713,SLC,SMF,4,910,109,1
YV,2705,RIC,CLT,5,960,80,0
DL,1655,ATL,LAX,6,575,305,0
MQ,2871,JAN,DFW,4,505,95,0
XE,2920,IAH,XNA,5,955,86,0
XE,2229,EWR,ORF,7,1120,87,1
US,2180,DCA,LGA,1,1020,78,0
YV,2681,CLT,PNS,7,580,110,0
AA,34,LAX,JFK,5,510,322,0
YV,2864,FLG,PHX,1,1150,71,0
WN,1227,DEN,SNA,3,1235,155,0
WN,824,PHL,PIT,7,730,75,0
OO,4839,SLC,ABQ,3,510,104,1
WN,3598,BOI,DEN,4,995,110,1
OO,6912,COS,IAD,2,544,183,1
AA,439,RSW,DFW,7,815,175,0
HA,110,LIH,HNL,3,439,30,0
WN,427,DEN,HOU,3,375,140,1
YV,7263,IAD,ORF,6,527,63,0
UA,324,LAX,IAD,3,540,288,1
CO,544,IAH,CLE,5,405,157,0
OH,6578,DTW,XNA,5,520,147,0
WN,553,SAN,MDW,7,595,235,0
OO,6416,SFO,ABQ,2,904,137,1
WN,465,SAN,MCI,5,420,190,0
EV,5236,ATL,GSP,5,536,63,0
9E,4299,MSP,DAY,1,925,112,1
UA,356,SEA,DEN,4,862,154,0
AA,160,SAN,JFK,5,460,315,0
FL,263,MKE,DCA,5,870,109,0
UA,998,MCO,ORD,5,419,178,0
EV,5207,CHA,ATL,5,400,52,0
FL,338,ATL,PHL,1,1325,112,1
WN,997,PHX,BOS,3,645,300,1
DL,2151,MEM,SLC,4,1114,206,1
MQ,2727,CLE,DFW,2,835,185,1
AA,1689,PHL,MIA,4,685,170,0
AS,101,SEA,ANC,3,930,220,1
AS,503,SNA,SEA,7,720,168,0
MQ,4036,ORD,LEX,4,1140,80,0
XE,2197,MSN,EWR,7,1096,132,0
XE,2367,DAY,IAH,5,398,171,1
WN,914,LAX,SJC,1,960,65,0
MQ,3717,IAH,ORD,6,1130,155,1
FL,226,MKE,LAS,6,1085,250,1
MQ,2926,CHA,DFW,4,990,140,1
US,632,PHX,PIT,5,605,243,0
XE,2322,BRO,IAH,4,671,71,0
US,209,PHX,SAT,3,1185,125,0
WN,918,BUR,OAK,1,1010,70,0
US,975,CLT,RDU,3,875,50,1
B6,447,BOS,TPA,6,1075,205,0
MQ,4532,BNA,DCA,2,660,95,0
EV,5168,AVL,ATL,6,840,74,0
AA,1012,MIA,DCA,7,1330,140,0
WN,719,MSY,DAL,4,1245,85,1
OO,6407,TUL,LAX,6,444,204,0
UA,380,MSY,IAD,1,1060,150,0
AA,1004,MIA,DCA,1,815,145,1
OH,6535,CMH,LGA,7,1120,111,1
OO,4841,SLC,ABQ,2,1190,102,1
CO,210,IAH,EWR,1,945,207,0
EV,5387,ATL,GSP,4,590,64,0
AS,592,PDX,PSP,7,940,137,0
XE,2008,IAH,JAX,7,1035,118,0
AA,1032,ONT,DFW,2,370,180,0
DL,1572,TPA,ATL,4,587,93,0
MQ,4008,ORD,CLT,1,870,115,1
DL,2340,SFO,JFK,2,1350,330,0
AA,1150,SNA,ORD,3,705,240,1
DL,2120,ORD,DTW,4,420,90,1
UA,649,ORD,BOI,7,715,230,1
DL,2532,MCO,BOS,5,665,172,0
AA,1004,MIA,DCA,7,815,145,0
US,347,PDX,PHX,7,330,148,0
B6,777,BOS,LAS,2,1176,361,0
YV,2888,PHX,AUS,5,790,133,0
XE,2197,MSN,EWR,1,1098,132,1
WN,660,DEN,MCO,4,1020,210,1
AA,2228,HDN,DFW,7,835,130,1
DL,2545,DTW,SFO,3,945,320,1
OO,6298,RNO,SFO,2,805,67,1
WN,3411,MCI,LAX,5,705,225,1
CO,1459,IAH,SNA,5,1255,217,0
F9,261,SNA,DEN,7,900,136,1
MQ,4518,CMH,LGA,2,1115,105,0
WN,2561,PBI,BWI,1,1065,145,1
FL,660,HPN,ATL,5,435,145,0
DL,2266,ATL,MCI,5,645,140,1
DL,2662,LAX,JFK,4,480,325,0
AA,657,DFW,ABQ,2,1320,110,1
CO,648,EWR,SFO,4,1200,392,1
US,18,SEA,PHX,7,1050,166,0
WN,811,SEA,MCI,7,630,205,1
OH,6289,BOS,DCA,7,875,110,0
WN,6,CRP,HOU,3,375,50,1
DL,2786,ATL,LGA,7,1180,140,0
9E,3957,ATW,MSP,4,360,76,0
UA,934,HNL,LAX,7,420,335,0
US,1732,CLT,DCA,5,450,73,1
YV,2671,SAT,CLT,6,785,157,0
US,644,LAS,PHX,1,880,68,0
WN,3329,PIT,MDW,6,530,100,0
EV,5129,BOS,DCA,6,455,108,0
US,1153,PHL,DFW,4,575,225,0
AA,1257,DCA,MIA,2,1200,165,1
AA,1632,DFW,OMA,4,945,105,0
XE,5975,ORD,SGF,3,501,94,0
FL,1605,MCO,DFW,3,1200,170,0
WN,387,SAN,SJC,1,1150,80,1
AA,1518,SEA,DFW,4,655,235,1
B6,62,JFK,SYR,6,888,78,1
AS,555,PSP,SEA,2,985,170,1
YV,2733,PHX,PSP,4,950,90,1
AS,661,DFW,SEA,3,830,262,0
XE,2691,EWR,BWI,1,1315,64,0
OO,6460,HDN,DEN,2,380,67,0
FL,1625,PHL,MCO,3,485,169,0
EV,5172,DTW,OKC,5,1185,160,0
FL,1491,CMH,MCO,5,741,139,0
XE,2166,LEX,IAH,5,1067,156,1
EV,7134,ORF,IAD,3,782,55,1
9E,4359,RST,MSP,1,585,55,1
DL,2694,JAX,ATL,4,628,75,0
DL,2758,LAX,SFO,1,970,81,1
MQ,2746,BRO,DFW,2,640,95,1
XE,2505,CLE,RIC,5,930,74,1
MQ,2797,DFW,FSM,5,515,60,1
WN,771,BWI,LAS,7,790,330,1
OO,6600,ORD,MKG,7,1070,51,1
EV,5440,ATL,GNV,3,898,76,0
OO,6639,DEN,BZN,7,868,109,0
F9,327,BOS,MKE,1,1055,164,1
WN,151,PHX,SLC,7,1085,95,1
DL,1629,JFK,LAS,3,970,366,0
WN,60,HOU,DAL,4,1260,55,1
FL,632,DAY,BWI,3,751,81,1
WN,719,BUF,BWI,2,905,70,1
B6,265,SMF,LGB,7,1158,77,1
AA,1898,ELP,DFW,7,720,100,1
OO,6523,CLD,LAX,2,681,40,0
EV,5356,ATL,CHA,5,1310,49,0
UA,28,LAX,JFK,6,980,320,1
FL,418,BWI,PWM,7,1300,85,0
WN,2187,PHL,STL,2,955,160,1
OO,4861,MSP,GRB,5,1185,74,1
EV,5590,XNA,MEM,4,390,66,0
MQ,3367,DFW,LBB,5,525,70,0
XE,2476,EWR,CVG,5,809,128,1
EV,5020,ATL,ATW,6,1079,131,0
WN,1046,JAX,TPA,4,390,55,1
WN,1119,LGA,BWI,5,960,60,1
WN,2600,BNA,SAN,6,820,280,0
WN,1021,BNA,MSY,3,520,95,1
CO,682,IAH,BOS,1,945,227,1
OO,7011,SMX,LAX,6,380,57,0
AS,99,SEA,ANC,6,780,221,0
9E,3864,MSP,PIT,1,430,130,0
OH,6766,MSN,LGA,1,1021,146,0
FL,104,DFW,ATL,3,652,118,0
WN,36,HOU,DAL,3,900,55,1
XE,3008,IAH,IAD,5,610,165,1
FL,520,TPA,BWI,3,684,130,0
MQ,3256,GRK,DFW,5,360,50,0
9E,4391,DTW,RDU,3,450,105,1
MQ,2876,SAF,DFW,1,735,95,0
UA,789,ROC,ORD,6,1078,117,1
WN,1112,SEA,SLC,3,1095,110,1
WN,964,BUF,MCO,3,1015,170,1
OH,6341,DTW,ATW,1,545,99,0
AA,1595,DFW,LAS,4,1185,180,0
WN,3419,TPA,PHL,2,1105,150,1
MQ,2995,DSM,DFW,7,1000,125,0
CO,1777,PHL,IAH,1,470,224,0
MQ,2812,DFW,LRD,4,995,85,1
B6,662,MCO,BUF,2,1104,149,0
WN,1199,OKC,HOU,1,375,85,0
WN,44,HOU,DAL,7,1020,60,0
WN,611,PHX,BUF,3,765,245,1
FL,58,LAX,ATL,5,1385,250,0
MQ,4026,GRB,MQT,2,1195,40,1
MQ,3651,MIA,TYS,2,1255,130,0
DL,2782,MEM,DCA,3,508,118,0
WN,970,PBI,PHL,2,650,165,1
XE,5999,ORD,TUL,6,715,118,1
CO,1456,AUS,IAH,3,1027,61,1
OH,6268,CRW,DTW,1,926,79,1
AA,1347,DFW,SJC,3,590,225,0
OO,6574,SFO,SMF,4,775,43,0
OO,6871,DEN,MOT,3,755,102,1
UA,999,SJU,ORD,6,956,316,0
UA,660,LAS,DEN,3,501,121,0
WN,1619,PBI,PHL,7,880,165,0
UA,939,DEN,SAN,5,1135,147,0
AA,7,DFW,OGG,1,690,510,1
CO,1466,SEA,IAH,4,70,237,1
MQ,3305,DFW,LFT,6,1170,75,0
CO,1547,ORD,IAH,3,895,165,1
OO,7011,LAX,PDX,6,505,141,1
OH,6735,BOS,RDU,2,580,142,0
OH,6436,CVG,ORD,5,1135,90,0
WN,684,SNA,SFO,3,1090,85,1
CO,107,EWR,IAH,2,905,245,1
B6,728,BQN,JFK,1,335,231,0
WN,489,MCO,FLL,4,950,55,1
AA,2324,DFW,ORD,2,445,140,0
WN,2206,RDU,BWI,4,385,65,0
MQ,4290,BNA,ORD,5,660,95,0
YV,2692,ILM,CLT,4,425,65,0
FL,782,PHF,MCO,6,596,120,0
WN,187,PHX,RNO,3,795,115,1
WN,1050,PIT,TPA,4,1020,155,1
AS,60,KTN,SEA,6,555,116,0
OO,6520,ORD,MBS,7,789,60,0
AA,276,LAX,MIA,3,1340,280,0
WN,610,ABQ,PHX,5,1135,80,1
AA,1853,DFW,COS,3,870,115,1
DL,2317,DTW,LAS,3,715,272,0
EV,5115,CLE,ATL,3,465,127,0
DL,2066,LAS,MSP,2,560,190,1
B6,693,DCA,MCO,7,800,134,1
B6,439,BOS,MCO,3,960,192,1
UA,847,SFO,IAD,7,770,310,1
UA,127,BUF,ORD,4,1045,115,1
CO,1172,EWR,BOS,1,870,70,1
WN,3483,LAS,BUR,1,1190,65,1
DL,1038,ATL,IND,6,1315,99,0
XE,2768,CLE,ALB,1,755,73,0
EV,5267,ATL,AEX,5,600,119,1
OO,6254,FAT,SFO,5,465,59,1
MQ,3934,ORD,FSD,3,1240,100,1
WN,3094,SFO,LAS,5,870,95,1
YV,7276,ORD,SBN,1,1028,39,0
HA,126,HNL,OGG,4,670,37,0
MQ,3118,RNO,LAX,6,480,105,0
9E,4369,ORF,DTW,6,985,129,1
MQ,4410,RDU,LGA,4,485,90,0
WN,266,BWI,BDL,4,455,70,0
